"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\bloc\bus_ride_state.dart", "Dart", 20, 0, 11, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\pages\bus_rides.dart", "Dart", 91, 0, 7, 98
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\widgets\coming_rides.dart", "Dart", 93, 0, 6, 99
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\widgets\settings.dart", "Dart", 114, 0, 6, 120
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\widgets\unavailable_ride.dart", "Dart", 52, 0, 6, 58
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\data\data_sources\remote_data_source.dart", "Dart", 23, 0, 4, 27
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\data\model\company_converters.dart", "Dart", 40, 0, 4, 44
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\data\repository_implementation\company_repository_implementation.dart", "Dart", 29, 1, 3, 33
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\domain\enitity\company.dart", "Dart", 17, 0, 3, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\domain\repository\company_repository.dart", "Dart", 6, 0, 2, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\domain\use_case\get_companies_info.dart", "Dart", 11, 0, 4, 15
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\bloc\company_selection_bloc.dart", "Dart", 54, 1, 8, 63
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\bloc\company_selection_event.dart", "Dart", 18, 0, 8, 26
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\bloc\company_selection_state.dart", "Dart", 33, 31, 22, 86
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\pages\choose_company.dart", "Dart", 82, 0, 9, 91
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\companies_bloc_consumer_widget.dart", "Dart", 50, 0, 3, 53
