"filename", "language", "C++", "CSS", "JavaScript", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\name.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\new.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\noun_bus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\noun_call.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\old_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\profile-animation-illustration.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\qr.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 1, 17
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\recenter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\report-bug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\reschedule.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 1, 15
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\sign-out.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\subscription.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\subscription_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\swinging-sad-emoji.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\terms-conditions.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 1, 22
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\tickets_animation.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\town.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\uni.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\visa.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\lang\ar.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\lang\en.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\map_style\dark_mode.json", "JSON", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\map_style\light-mode-map.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Assets.xcassets\BrandingImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
